Water Pollution Search Results,,,,,,,,,,,,,,,,,,,,,,
Search Criteria: Year = 2019; HUC Code = 18060010,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Data Source,NPDES Permit Number,FRS ID,Facility Name,City,County,State,HUC 12 Code,Watershed Name,SIC Code,Facility Latitude,Facility Longitude,Pollutant Name,Substance Registry System ID,CAS Number,Average Daily Flow (MGD),Major/Non-Major Status,Contains Potential Outliers?,Total Pounds (lb/yr),Total Kilograms (kg/yr),Total TWPE (lb-eq/yr),Total TWPE (kg-eq/yr),Link to DFR
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Dibutyl phthalate,10025,84742,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Fluoranthene,40691,206440,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Hexachlorobenzene,30346,118741,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Isophorone,7187,78591,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Naphthalene,13326,91203,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Silver,149849,7440224,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Tetrachloroethylene,34157,127184,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Toluene,25452,108883,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Toxaphene,156919,8001352,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"p,p'-DDD",4937,72548,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
